"기업규모별","산업분류","시점","항목",데이터
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2019","교육훈련비용 (천원)",12.5
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2020","상여금 및 성과금 (천원)",218.6
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2020","법정외 복지비용 (천원)",87.9
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2020","채용관련비용(모집비) (천원)",7.8
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2020","교육훈련비용 (천원)",7.5
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2021","상여금 및 성과금 (천원)",301.0
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2021","법정외 복지비용 (천원)",152.8
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2021","채용관련비용(모집비) (천원)",12.6
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2021","교육훈련비용 (천원)",8.7
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2022","상여금 및 성과금 (천원)",270.0
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2022","법정외 복지비용 (천원)",105.8
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2022","채용관련비용(모집비) (천원)",7.7
"2규모(상용근로자 30~99인)","J.정보통신업(58~63)","2022","교육훈련비용 (천원)",9.6
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2019","상여금 및 성과금 (천원)",1296.7
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2019","법정외 복지비용 (천원)",171.8
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2019","채용관련비용(모집비) (천원)",26.3
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2019","교육훈련비용 (천원)",26.3
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2020","상여금 및 성과금 (천원)",1672.8
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2020","법정외 복지비용 (천원)",183.2
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2020","채용관련비용(모집비) (천원)",12.4
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2020","교육훈련비용 (천원)",21.1
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2021","상여금 및 성과금 (천원)",2278.8
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2021","법정외 복지비용 (천원)",199.9
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2021","채용관련비용(모집비) (천원)",20.0
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2021","교육훈련비용 (천원)",30.6
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2022","상여금 및 성과금 (천원)",1463.9
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2022","법정외 복지비용 (천원)",173.0
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2022","채용관련비용(모집비) (천원)",8.2
"2규모(상용근로자 30~99인)","K.금융 및 보험업(64~66)","2022","교육훈련비용 (천원)",15.0
"2규모(상용근로자 30~99인)","L.부동산업(68)","2019","상여금 및 성과금 (천원)",525.7
"2규모(상용근로자 30~99인)","L.부동산업(68)","2019","법정외 복지비용 (천원)",68.6
"2규모(상용근로자 30~99인)","L.부동산업(68)","2019","채용관련비용(모집비) (천원)",0.4
"2규모(상용근로자 30~99인)","L.부동산업(68)","2019","교육훈련비용 (천원)",24.7
"2규모(상용근로자 30~99인)","L.부동산업(68)","2020","상여금 및 성과금 (천원)",384.0
"2규모(상용근로자 30~99인)","L.부동산업(68)","2020","법정외 복지비용 (천원)",115.5
"2규모(상용근로자 30~99인)","L.부동산업(68)","2020","채용관련비용(모집비) (천원)",0.1
"2규모(상용근로자 30~99인)","L.부동산업(68)","2020","교육훈련비용 (천원)",3.4
"2규모(상용근로자 30~99인)","L.부동산업(68)","2021","상여금 및 성과금 (천원)",184.5
"2규모(상용근로자 30~99인)","L.부동산업(68)","2021","법정외 복지비용 (천원)",85.5
"2규모(상용근로자 30~99인)","L.부동산업(68)","2021","채용관련비용(모집비) (천원)",0.6
"2규모(상용근로자 30~99인)","L.부동산업(68)","2021","교육훈련비용 (천원)",5.1
"2규모(상용근로자 30~99인)","L.부동산업(68)","2022","상여금 및 성과금 (천원)",149.2
"2규모(상용근로자 30~99인)","L.부동산업(68)","2022","법정외 복지비용 (천원)",132.3
"2규모(상용근로자 30~99인)","L.부동산업(68)","2022","채용관련비용(모집비) (천원)",3.3
"2규모(상용근로자 30~99인)","L.부동산업(68)","2022","교육훈련비용 (천원)",12.2
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","상여금 및 성과금 (천원)",343.6
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","법정외 복지비용 (천원)",74.0
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","채용관련비용(모집비) (천원)",3.0
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","교육훈련비용 (천원)",11.7
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","상여금 및 성과금 (천원)",315.4
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","법정외 복지비용 (천원)",98.3
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","채용관련비용(모집비) (천원)",3.5
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","교육훈련비용 (천원)",11.9
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","상여금 및 성과금 (천원)",396.2
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","법정외 복지비용 (천원)",112.4
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","채용관련비용(모집비) (천원)",5.1
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","교육훈련비용 (천원)",12.3
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","상여금 및 성과금 (천원)",295.5
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","법정외 복지비용 (천원)",134.6
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","채용관련비용(모집비) (천원)",6.0
"2규모(상용근로자 30~99인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","교육훈련비용 (천원)",7.2
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","상여금 및 성과금 (천원)",114.5
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","법정외 복지비용 (천원)",62.7
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","채용관련비용(모집비) (천원)",1.1
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","교육훈련비용 (천원)",1.5
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","상여금 및 성과금 (천원)",72.9
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","법정외 복지비용 (천원)",63.4
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","채용관련비용(모집비) (천원)",4.4
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","교육훈련비용 (천원)",1.4
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","상여금 및 성과금 (천원)",80.8
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","법정외 복지비용 (천원)",62.2
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","채용관련비용(모집비) (천원)",0.8
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","교육훈련비용 (천원)",2.1
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","상여금 및 성과금 (천원)",118.0
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","법정외 복지비용 (천원)",64.2
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","채용관련비용(모집비) (천원)",2.0
"2규모(상용근로자 30~99인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","교육훈련비용 (천원)",0.8
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","상여금 및 성과금 (천원)",409.3
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","법정외 복지비용 (천원)",243.0
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","채용관련비용(모집비) (천원)",4.2
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","교육훈련비용 (천원)",9.7
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","상여금 및 성과금 (천원)",250.9
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","법정외 복지비용 (천원)",222.2
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","채용관련비용(모집비) (천원)",2.4
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","교육훈련비용 (천원)",8.5
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","상여금 및 성과금 (천원)",248.8
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","법정외 복지비용 (천원)",241.7
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","채용관련비용(모집비) (천원)",2.1
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","교육훈련비용 (천원)",12.4
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","상여금 및 성과금 (천원)",330.4
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","법정외 복지비용 (천원)",234.9
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","채용관련비용(모집비) (천원)",2.8
"2규모(상용근로자 30~99인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","교육훈련비용 (천원)",4.0
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","상여금 및 성과금 (천원)",174.6
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","법정외 복지비용 (천원)",68.9
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","채용관련비용(모집비) (천원)",1.1
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","교육훈련비용 (천원)",3.5
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","상여금 및 성과금 (천원)",153.4
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","법정외 복지비용 (천원)",71.5
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","채용관련비용(모집비) (천원)",1.0
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","교육훈련비용 (천원)",1.8
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","상여금 및 성과금 (천원)",199.3
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","법정외 복지비용 (천원)",78.8
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","채용관련비용(모집비) (천원)",3.1
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","교육훈련비용 (천원)",1.2
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","상여금 및 성과금 (천원)",147.7
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","법정외 복지비용 (천원)",86.7
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","채용관련비용(모집비) (천원)",1.9
"2규모(상용근로자 30~99인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","교육훈련비용 (천원)",1.9
"3규모(상용근로자 100~299인)","B.광업(05~08)","2019","상여금 및 성과금 (천원)",752.4
"3규모(상용근로자 100~299인)","B.광업(05~08)","2019","법정외 복지비용 (천원)",302.9
"3규모(상용근로자 100~299인)","B.광업(05~08)","2019","채용관련비용(모집비) (천원)",0.1
"3규모(상용근로자 100~299인)","B.광업(05~08)","2019","교육훈련비용 (천원)",6.4
"3규모(상용근로자 100~299인)","B.광업(05~08)","2020","상여금 및 성과금 (천원)",841.1
"3규모(상용근로자 100~299인)","B.광업(05~08)","2020","법정외 복지비용 (천원)",289.0
"3규모(상용근로자 100~299인)","B.광업(05~08)","2020","채용관련비용(모집비) (천원)",7.3
"3규모(상용근로자 100~299인)","B.광업(05~08)","2020","교육훈련비용 (천원)",2.1
"3규모(상용근로자 100~299인)","B.광업(05~08)","2021","상여금 및 성과금 (천원)",970.8
"3규모(상용근로자 100~299인)","B.광업(05~08)","2021","법정외 복지비용 (천원)",329.2
"3규모(상용근로자 100~299인)","B.광업(05~08)","2021","채용관련비용(모집비) (천원)",0.8
"3규모(상용근로자 100~299인)","B.광업(05~08)","2021","교육훈련비용 (천원)",5.9
"3규모(상용근로자 100~299인)","B.광업(05~08)","2022","상여금 및 성과금 (천원)",360.4
"3규모(상용근로자 100~299인)","B.광업(05~08)","2022","법정외 복지비용 (천원)",297.9
"3규모(상용근로자 100~299인)","B.광업(05~08)","2022","채용관련비용(모집비) (천원)",4.6
"3규모(상용근로자 100~299인)","B.광업(05~08)","2022","교육훈련비용 (천원)",3.9
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2019","상여금 및 성과금 (천원)",509.2
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2019","법정외 복지비용 (천원)",193.1
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2019","채용관련비용(모집비) (천원)",2.8
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2019","교육훈련비용 (천원)",6.8
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2020","상여금 및 성과금 (천원)",406.2
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2020","법정외 복지비용 (천원)",208.0
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2020","채용관련비용(모집비) (천원)",3.4
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2020","교육훈련비용 (천원)",6.9
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2021","상여금 및 성과금 (천원)",458.3
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2021","법정외 복지비용 (천원)",214.2
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2021","채용관련비용(모집비) (천원)",5.0
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2021","교육훈련비용 (천원)",5.1
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2022","상여금 및 성과금 (천원)",548.4
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2022","법정외 복지비용 (천원)",215.8
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2022","채용관련비용(모집비) (천원)",3.2
"3규모(상용근로자 100~299인)","C.제조업(10~34)","2022","교육훈련비용 (천원)",6.7
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","상여금 및 성과금 (천원)",2288.3
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","법정외 복지비용 (천원)",826.0
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","채용관련비용(모집비) (천원)",13.2
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","교육훈련비용 (천원)",81.1
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","상여금 및 성과금 (천원)",2407.7
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","법정외 복지비용 (천원)",762.7
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","채용관련비용(모집비) (천원)",14.4
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","교육훈련비용 (천원)",54.2
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","상여금 및 성과금 (천원)",1992.0
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","법정외 복지비용 (천원)",850.1
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","채용관련비용(모집비) (천원)",9.5
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","교육훈련비용 (천원)",50.7
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","상여금 및 성과금 (천원)",2442.6
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","법정외 복지비용 (천원)",454.6
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","채용관련비용(모집비) (천원)",10.3
"3규모(상용근로자 100~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","교육훈련비용 (천원)",39.0
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","상여금 및 성과금 (천원)",700.6
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","법정외 복지비용 (천원)",196.8
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","채용관련비용(모집비) (천원)",0.1
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","교육훈련비용 (천원)",8.1
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","상여금 및 성과금 (천원)",281.1
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","법정외 복지비용 (천원)",247.0
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","채용관련비용(모집비) (천원)",0.3
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","교육훈련비용 (천원)",5.6
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","상여금 및 성과금 (천원)",357.4
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","법정외 복지비용 (천원)",238.0
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","채용관련비용(모집비) (천원)",2.1
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","교육훈련비용 (천원)",3.7
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","상여금 및 성과금 (천원)",536.5
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","법정외 복지비용 (천원)",127.6
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","채용관련비용(모집비) (천원)",3.4
"3규모(상용근로자 100~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","교육훈련비용 (천원)",5.0
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2019","상여금 및 성과금 (천원)",382.4
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2019","법정외 복지비용 (천원)",159.9
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2019","채용관련비용(모집비) (천원)",1.1
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2019","교육훈련비용 (천원)",6.6
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2020","상여금 및 성과금 (천원)",275.1
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2020","법정외 복지비용 (천원)",193.3
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2020","채용관련비용(모집비) (천원)",1.2
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2020","교육훈련비용 (천원)",3.5
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2021","상여금 및 성과금 (천원)",278.5
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2021","법정외 복지비용 (천원)",228.8
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2021","채용관련비용(모집비) (천원)",3.2
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2021","교육훈련비용 (천원)",4.3
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2022","상여금 및 성과금 (천원)",428.9
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2022","법정외 복지비용 (천원)",116.7
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2022","채용관련비용(모집비) (천원)",5.2
"3규모(상용근로자 100~299인)","F.건설업(41~42)","2022","교육훈련비용 (천원)",4.9
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2019","상여금 및 성과금 (천원)",581.6
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2019","법정외 복지비용 (천원)",137.6
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2019","채용관련비용(모집비) (천원)",12.3
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2019","교육훈련비용 (천원)",24.9
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2020","상여금 및 성과금 (천원)",638.8
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2020","법정외 복지비용 (천원)",133.0
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2020","채용관련비용(모집비) (천원)",11.2
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2020","교육훈련비용 (천원)",7.8
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2021","상여금 및 성과금 (천원)",700.5
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2021","법정외 복지비용 (천원)",241.4
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2021","채용관련비용(모집비) (천원)",16.2
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2021","교육훈련비용 (천원)",11.8
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2022","상여금 및 성과금 (천원)",504.5
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2022","법정외 복지비용 (천원)",104.6
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2022","채용관련비용(모집비) (천원)",15.5
"3규모(상용근로자 100~299인)","G.도매 및 소매업(45~47)","2022","교육훈련비용 (천원)",18.6
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2019","상여금 및 성과금 (천원)",363.0
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2019","법정외 복지비용 (천원)",109.1
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2019","채용관련비용(모집비) (천원)",0.5
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2019","교육훈련비용 (천원)",2.0
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2020","상여금 및 성과금 (천원)",245.7
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2020","법정외 복지비용 (천원)",83.1
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2020","채용관련비용(모집비) (천원)",0.6
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2020","교육훈련비용 (천원)",2.2
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2021","상여금 및 성과금 (천원)",321.3
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2021","법정외 복지비용 (천원)",102.8
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2021","채용관련비용(모집비) (천원)",1.8
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2021","교육훈련비용 (천원)",1.5
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2022","상여금 및 성과금 (천원)",283.6
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2022","법정외 복지비용 (천원)",146.7
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2022","채용관련비용(모집비) (천원)",0.1
"3규모(상용근로자 100~299인)","H.운수 및 창고업(49~52)","2022","교육훈련비용 (천원)",3.1
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2019","상여금 및 성과금 (천원)",147.3
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2019","법정외 복지비용 (천원)",160.0
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2019","채용관련비용(모집비) (천원)",3.9
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2019","교육훈련비용 (천원)",10.6
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2020","상여금 및 성과금 (천원)",93.3
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2020","법정외 복지비용 (천원)",148.2
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2020","채용관련비용(모집비) (천원)",1.3
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2020","교육훈련비용 (천원)",8.4
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2021","상여금 및 성과금 (천원)",75.2
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2021","법정외 복지비용 (천원)",129.9
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2021","채용관련비용(모집비) (천원)",1.4
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2021","교육훈련비용 (천원)",9.7
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2022","상여금 및 성과금 (천원)",70.2
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2022","법정외 복지비용 (천원)",91.4
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2022","채용관련비용(모집비) (천원)",10.6
"3규모(상용근로자 100~299인)","I.숙박 및 음식점업(55~56)","2022","교육훈련비용 (천원)",1.0
"3규모(상용근로자 100~299인)","J.정보통신업(58~63)","2019","상여금 및 성과금 (천원)",358.1
"3규모(상용근로자 100~299인)","J.정보통신업(58~63)","2019","법정외 복지비용 (천원)",149.1
